,R2 Score,MSE
Linear Regression,0.6943488059944727,622.3638513116063
Random Forest,0.7761827595371728,455.7343877474334
Support Vector Regressor,-0.08152135185741671,2202.182772449907
K-Nearest Neighbors,-0.002838489426825408,2041.9695285466667
Decision Tree,0.5978465542965209,818.8607543333334
